DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P6160	P8586	P6218	P8587	P8587S1	P6211	P5455	P1088	P1088S1	P6216	P5457	P5673	P5674	P6223	P1101	P5461	P5461S1	P5461S2	P5461S3	P4693	P6167	P6180	P6180S1	P6180S2	P8610	P8610S1	P8610S2	P6229	P6229S1	P8612	P8612S1	P8612S2	P6238	P8614	P8614S1	P8614S2	P6202	P781	P781S1	P781S2	P782	P783	LLAVEHOG	FEX_C
6003161	1	1	1	1	2		9	3	3	5																																				60031611	198.17735338081
6003161	2	1	2	1	1						7	4	4	1	2		1						1	10	2			2					2				2									60031611	198.17735338081
6003162	1	1	1	1	2		5	11		5																																				60031621	339.211774238575
6003162	2	1	2	1	1						3	9			1		1	1		2	2	2	4	10	2			2					2				2				1	1				60031621	339.211774238575
6003162	3	1	3	1	1						3	7			1		1	2		2	2	2	4	10	2			2					2				2				1	1				60031621	339.211774238575
6003163	1	1	1	1	2		4	6																																						60031631	415.403235617039
6003164	1	1	1	1	2	9	5	11		1																																				60031641	290.981805892778
6003164	2	1	2	1	1						2	4			1		1	2		2	2	2	4	5	2			2					2				2				4					60031641	290.981805892778
6003165	1	1	1	1	2		11	6	13	1																																				60031651	295.059126499597
6003165	2	1	2	1	2	4	7	3	3	5																																				60031651	295.059126499597
6003167	1	1	1	1	2		7	2	2	1																																				60031671	335.178663429952
6003167	2	1	2	1	2		7	2	2	1																																				60031671	335.178663429952
6003167	3	1	3	1	1						3	8			1		1	2		2	2	2	4	5	2			2					2				2				2		2	62	1	60031671	335.178663429952
6003167	4	1	4	1	1						2	2			1		1	1		2	2	2	4	5	2			2					2				2				2		2	62	1	60031671	335.178663429952
6003168	1	1	1	1	2		11	6	6	5																																				60031681	198.17735338081
6003168	2	1	2	1	2	9	10	3	3	1																																				60031681	198.17735338081
6003170	1	1	1	1	2		11	5	5	1																																				60031701	198.17735338081
6003170	2	1	2	1	2		11	5	5	1																																				60031701	198.17735338081
6003170	3	1	3	1	2		11	5	5	1																																				60031701	198.17735338081
6003171	1	1	1	1	2		3	5																																						60031711	198.17735338081
6003171	2	1	2	1	2	9	5	11		1																																				60031711	198.17735338081
6003171	3	1	3	1	1						2	3			1		1	2		2	2	2	4	5	2			2					2				2				4					60031711	198.17735338081
6003172	1	1	1	1	2	3	9	2	2	1																																				60031721	569.329103815236
6003172	2	1	2	1	1						7	3	3	1	2		1						1	7	2			2					2				1	310000	3	1						60031721	569.329103815236
6003172	3	1	3	1	1						2	5			1		1	1		2	2	2	4	5	2			2					2				2				2		2	60	1	60031721	569.329103815236
6003173	1	1	1	1	2		11	5	5	1																																				60031731	299.092237308219
6003173	2	1	2	1	1						3	9			1		1	1		2	2	2	4	5	2			2					2				2				4					60031731	299.092237308219
6003174	1	1	1	1	2		11	5	5	1																																				60031741	438.807874264638
6003174	2	1	2	1	2		5	11		1																																				60031741	438.807874264638
6003174	3	1	3	1	1						2	1			2	2	1	4		1	1	1	1	10	2			2					2				2				2		2	20	7	60031741	438.807874264638
6003175	1	1	1	1	2		9	3	3	3																																				60031751	754.943825792488
6003175	2	1	2	1	2	3	11	5	5	1																																				60031751	754.943825792488
6003175	3	1	3	1	1						7	5	5	1	1		1						1	15	2			2					2				2									60031751	754.943825792488
6003176	1	1	1	1	2	2	5	11		1																																				60031761	2052.50853955456
6003176	3	1	3	1	2	4	7	2	2	1																																				60031761	2052.50853955456
6003177	1	1	1	1	2		4	8																																						60031771	1066.240268247
6003178	1	1	1	1	2		7	2	2	1																																				60031781	1779.04080119595
6003178	2	1	2	1	2		11	5	5	4																																				60031781	1779.04080119595
6003178	3	1	3	1	1						3	6			2	2	1	4		1	1	1	3	10	1	5000	8000	2					2				2				1	2				60031781	1779.04080119595
6003178	4	1	4	1	1						2	1			2	2	1	4		1	1	1	3	10	2			2					2				2				1	2				60031781	1779.04080119595
6003179	1	1	1	1	2		7	2	2	1																																				60031791	1427.32552340513
6003179	2	1	2	1	1						4	11		1	2	2	1	4		1	1	1	4	5	2			2					2				2				1	1				60031791	1427.32552340513
6003180	1	1	1	1	2		5	11		2																																				60031801	2251.229484056
6003180	2	1	2	1	2		5	11		1																																				60031801	2251.229484056
6003180	3	1	3	1	2	3	7	1	1	2																																				60031801	2251.229484056
6003180	4	1	4	1	1						4	10		1	1		1	5		1	2	2	4	20	2			2					2				2									60031801	2251.229484056
6003180	5	1	5	1	1						3	8			1		1	4		2	2	2	4	15	2			2					2				2				1	2				60031801	2251.229484056
6003180	6	1	6	1	1						2	4			1		1	1		2	2	2	4	20	2			2					2				2				1	2				60031801	2251.229484056
6003180	7	1	7	1	2	10	4	9																																						60031801	2251.229484056
6003181	1	1	1	1	2	3	10	1	1	3																																				60031811	1747.67448668091
6003182	1	1	1	1	2	3	13	1	6	1																																				60031821	1184.71140916333
6003184	1	1	1	1	1						7	2	2	1	2		1						4	5	2			2					2				2									60031841	2087.15369663942
6003184	2	1	2	1	1						7	2	2	1	2		1						4	5	2			2					2				2									60031841	2087.15369663942
6003184	3	1	3	1	1						7	2	2	1	2		1						4	5	2			2					2				2									60031841	2087.15369663942
6003184	4	1	4	1	1						7	2	2	1	2		1						4	5	2			2					2				2									60031841	2087.15369663942
6003185	1	1	1	1	2		4	7																																						60031851	1552.60098782414
6003185	2	1	2	1	2	3	8	3	3	3																																				60031851	1552.60098782414
6003185	3	1	3	1	1						2	3			2	2	1	1		1	1	1	1	5	2			2					2				2				1	2				60031851	1552.60098782414
6003185	4	1	4	2	1						1	1			1		1	4		2	2	2	1	5	1	1000	5000	2					2				2				1	2				60031851	1552.60098782414
6003186	1	1	1	1	2		4	7																																						60031861	1261.68482245269
6003186	2	1	2	1	1						5	1	1	1	1		1						4	15	1	0	4500	2					2				2									60031861	1261.68482245269
6003186	3	1	3	1	1						7	4	4	1	2		1						3	60	2			2					2				2									60031861	1261.68482245269
6003186	4	1	4	1	2	3	6	1	1	6																																				60031861	1261.68482245269
6003186	5	1	5	1	2	4	5	11		1																																				60031861	1261.68482245269
6003186	6	1	6	1	1						2	1			1		1	2		2	2	2	4	5	2			2					2				2				1	5				60031861	1261.68482245269
6003187	1	1	1	1	2		3	4																																						60031871	1078.60989973059
6003187	2	1	2	1	2		3	5																																						60031871	1078.60989973059
6003187	3	1	3	1	2	7	7	1	1	1																																				60031871	1078.60989973059
6003187	4	1	4	1	1						3	9			1		1	1		2	2	2	4	20	1	0	3000	2					2				2				1	3				60031871	1078.60989973059
6003187	5	1	5	1	1						3	6			1		1	1		2	2	2	4	7	1	0	3000	2					2				2				1	2				60031871	1078.60989973059
6003188	1	1	1	1	2		3	5																																						60031881	930.62200514301
6003188	2	1	2	1	2		3	2																																						60031881	930.62200514301
6003190	1	1	1	1	2		5	12		1																																				60031901	1024.52503890785
6003191	1	1	1	1	2		5	11		1																																				60031911	1174.78098558784
6003191	2	1	2	1	2	3	5	11		1																																				60031911	1174.78098558784
6003191	3	1	3	1	1						2	3			1		1	1		2	2	2	4	15	2			2					2				2				1	2				60031911	1174.78098558784
6003192	1	1	1	1	2		5	11		6																																				60031921	1072.88148486528
6003192	2	1	2	1	2		3	2																																						60031921	1072.88148486528
6003193	1	1	1	1	2		3	3																																						60031931	930.62200514301
6003193	2	1	2	1	2		3	3																																						60031931	930.62200514301
6003194	1	1	1	1	2	3	9	2	2	1																																				60031941	1229.27650078986
6003195	1	1	1	1	1						7	4	4	3	2		1						3	120	2			2					2				2									60031951	818.154425672857
6003196	1	1	1	1	2		5	11		1																																				60031961	865.650743974887
6003196	2	1	2	1	2		7	1	1	1																																				60031961	865.650743974887
6003196	3	1	3	1	1						4	11		1	1		1	1		2	2	2	4	10	2			2					2				2				1	2				60031961	865.650743974887
6003196	4	1	4	1	2	2	11	5	5	1																																				60031961	865.650743974887
6003197	1	1	1	1	2		11	5	5	2																																				60031971	866.510871630291
6003197	2	1	2	1	1						7	2	2	3	1		1						1	5	2			2					2				2									60031971	866.510871630291
6003198	1	1	1	1	2		11	5	5	4																																				60031981	1483.05109954539
6003198	2	1	2	1	2	2	11	5	5	1																																				60031981	1483.05109954539
6003199	1	1	1	1	2		4	6																																						60031991	1024.52503890785
6003200	1	1	1	1	2		7	2	2	1																																				60032001	1195.97442790915
6003200	2	1	2	1	1						2	1			1		1	1		1	2	1	4	5	1	0	1200	2					2				2				2		2	34	4	60032001	1195.97442790915
6003201	1	1	1	1	2		3	5																																						60032011	1007.91022369716
6003201	2	1	2	1	2		3	5																																						60032011	1007.91022369716
6003201	3	1	3	1	1						7	5	5	4	1		1						1	5	2			2					2				2									60032011	1007.91022369716
6003201	4	1	4	1	1						7	4	4	1	1		1						3	5	2			2					2				2									60032011	1007.91022369716
6003202	1	1	1	2	2		3	2																																						60032021	1024.52503890785
6003203	1	1	1	1	2		11	5	5	1																																				60032031	1032.52150586557
