DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5095	P5100	P5120	P8692	P8692S1A1	P8692S2	P5110	P5130	P5140	P5160	P5160S1	P5160S1A1	P5160S2	P5160S2A1	LLAVEHOG	FEX_C
5000439	1	1	591	1	1		1	1	1		200000000	600000		2					50004391	437.958905408613
5000440	1	1	591	1	1		2				80000000	200000		2					50004401	452.779057503129
5000442	1	1	591	1	1		1	1	1		30000000	200000		2					50004421	341.767520667089
5000443	1	1	591	1	3								200000	2					50004431	412.573236805179
5000444	1	1	591	1	3								300000	2					50004441	412.573236805179
5000445	1	1	591	1	3								350000	2					50004451	304.292506353505
5000446	1	1	591	1	2	500000	1	1	1		100000000	450000		2					50004461	507.664925534247
5000447	1	1	591	1	1		1	1	1		80000000	400000		2					50004471	336.413189069035
5000448	1	1	591	1	1		1	1	1		20000000	200000		2					50004481	336.413189069035
5000449	1	1	591	1	1		1	1	1		25000000	200000		2					50004491	334.667023910785
5000451	1	1	591	1	4							200000		2					50004511	529.783641704041
5000452	1	1	591	1	3								150000	2					50004521	349.273174564793
5000453	1	1	591	1	3								80000	2					50004531	473.218593575751
5000454	1	1	591	1	3								200000	2					50004541	334.667023910785
5000455	1	1	591	1	5							200000		2					50004551	367.153189270523
5000457	1	1	591	1	1		2				15000000	150000		2					50004571	452.779057503129
5000458	1	1	591	1	1		2				20000000	150000		2					50004581	540.151090893985
5000459	1	1	591	1	3								230000	2					50004591	530.596997912683
5000460	1	1	591	1	1		1	1	1		60000000	250000		2					50004601	367.153189270523
5000461	1	1	591	1	3								400000	2					50004611	444.157773471435
5000462	1	1	591	1	1		1	1	2		80000000	400000		2					50004621	383.505505082781
5000463	1	1	591	1	1		2				30000000	150000		2					50004631	458.977925565951
5000466	1	1	591	1	4							200000		2					50004661	887.629442926622
5000469	1	1	591	1	4							300000		2					50004691	734.442877837562
5000470	1	1	591	1	3								180000	2					50004701	494.093231320968
5000472	1	1	591	1	3								500000	2					50004721	402.023262500086
5000473	1	1	591	1	3								500000	2					50004731	298.297748432394
5000474	1	1	591	1	3								500000	2					50004741	207.220029578964
5000475	1	1	591	1	3								450000	2					50004751	708.833806975694
5000477	1	1	591	1	3								400000	2					50004771	406.738895327462
5000479	1	1	591	1	3								700000	2					50004791	207.220029578964
5000480	1	1	591	1	3								400000	1	2		1	20000000	50004801	414.104153311762
5000481	1	1	591	1	1		1	2		2	70000000	500000		2					50004811	703.905800280428
5000482	1	1	591	1	3								600000	2					50004821	828.880118315855
5000483	1	1	591	1	1		1	2		2	130000000	13000000		2					50004831	207.220029578964
5000484	1	1	591	1	1		1	3			50000000	300000		2					50004841	207.220029578964
5000485	1	1	591	1	3								600000	2					50004851	207.220029578964
5000486	1	1	591	1	1		1	1	1		60000000	6000000		2					50004861	207.220029578964
5000487	1	1	591	1	1		1	3			70000000	400000		2					50004871	611.610894613972
5000487	2	1	591	2	3								200000	2					50004872	611.610894613972
5000488	1	1	591	1	3								200000	2					50004881	480.624571842245
5000489	1	1	591	1	3								550000	2					50004891	207.220029578964
5000490	1	1	591	1	3								600000	2					50004901	207.220029578964
5000491	1	1	591	1	3								360000	2					50004911	406.738895327462
5000493	1	1	591	1	5							100000		2					50004931	298.315433826033
5000494	1	1	591	1	1		1	1	1		300000000	500000		2					50004941	769.846532708524
5000494	2	1	591	2	4							500000		2					50004942	769.846532708524
5000495	1	1	591	1	3								200000	2					50004951	270.580785604246
