"DIRECTORIO","CANT_HOG_COMPLETOS","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P1070","P4005","P4015","P4567","P8520","P8520S1","P8520S1A1","P8520S3","P8520S4","P8520S4A1","P8520S5","P4065","P4065S1","P4065S2","P4065S3","P4065S4","P5661","P5661S1","P5661S2","P5661S3","P5661S4","P5661S5","P5661S6","P5661S7","P5661S9","P1891","P1891S1","P1891S2","P1891S3","P1891S4","P1891S5","P1_DEPARTAMENTO","FEX_C","CLASE"
6000061,1,1,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,1,1,2,2,2,"54",2591.85256066678,1
6000062,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,3,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"54",2510.6403761422,1
6000063,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,2,1,1,3,1,1.79769313486232e+308,2,2,2,2,2,"54",2782.64520154823,1
6000064,1,1,1,1,2,1,6,1,1.79769313486232e+308,1,1,1,1,3,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"54",2330.55389726967,1
6000065,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,2,1,1,1,1,2,1,1.79769313486232e+308,2,1,1,2,2,"54",163.75671762972,2
6000066,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,2,1,1,1,1,4,1,1.79769313486232e+308,1,2,1,1,2,"54",154.046845828318,2
6000067,1,1,1,1,1,1,4,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,4,1,1,1,2,2,1,1.79769313486232e+308,2,1,1,2,2,"54",164.182747137995,2
6000068,1,1,1,1,1,1,4,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,2,2,2,"54",164.182747137995,2
6000069,1,1,1,1,1,1,6,3,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,2,1,1,1,1,1,4,1,1.79769313486232e+308,2,2,2,2,2,"54",160.236074023735,2
6000070,1,1,1,1,1,1,6,4,1.79769313486232e+308,1,2,1,1,2,1,1.79769313486232e+308,2,2,2,2,1.79769313486232e+308,1,1,1,1,1,1,1,1,1.79769313486232e+308,2,2,1,2,2,"54",173.892618939397,2
