DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	ORDEN	P5000	P5010	P5016	P5016S2	P5016S3	P5016S4	P5016S5	P5016S6	P5666	P8526	P5022	P5024	P5030	P1892	P1892S1	P1892S2	P1892S3	P1892S4	P1893	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P5012S8	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	LLAVEHOG	FEX_C	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU
6000080	1	1	1	2	1		1					2	1	2	1	1		1	1			1	1	2										1	1	1	2	2	1	2	1	1	1	1	1		4	2		2	60000801	246.492172233645	2	900000	900000	450000	0
6000082	1	1	1	2	2				1			2	1	1	2	1			1	1		1	1	2										1	2	2	1	1	2	2	2	1	1	1	1		4	2		1	60000821	395.702168739047	3	3380000	3380000	1126666.66666667	0
6000083	1	1	1	3	1				1			2	1	2	1	1			1	1		1	1	2										1	1	1	2	1	1	2	1	1	1	1	1		4	2		2	60000831	246.492172233645	2	4016666.66666667	4016666.66666667	2008333.33333333	0
6000084	1	1	1	3	1		1					2	1	2	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	1	1	1	1	1		4	2		2	60000841	246.492172233645	1	800000	800000	800000	0
6000085	1	1	1	6	3				1			2	1	1	3	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	3		6	1		4	2		2	60000851	616.477853951912	3	2100000	2100000	700000	0
6000086	1	1	1	2	1			1				2	1	1	1	1		1	1	1		1	1	2										1	1	2	2	2	1	2	2	1	1	2	1		4	2		2	60000861	873.318521299814	3	2320000	2320000	773333.333333333	0
6000087	1	1	1	4	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	1	1		4	2		1	60000871	304.57616603319	3	1375000	1375000	458333.333333333	0
6000088	1	1	1	6	3				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	1	2	1	1	1	1	1		4	2		2	60000881	421.91020140746	3	1666666.66666667	1666666.66666667	555555.555555556	0
6000089	1	1	1	4	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	1	1	2	2	1	1	1	1	1		4	2		1	60000891	475.898369796805	3	4500000	4500000	1500000	0
6000090	1	1	1	3	2				1			2	1	1	1	1		1	1	1		1	1	2										1	1	1	2	2	2	2	1	1	1	2	1		4	2		2	60000901	393.201353486926	3	1600000	1600000	533333.333333333	0
